id_mbes;X;Y;Z;id_moules;Nbrs_moules;Classe;H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14;H15;H16;GMM_Classe;New_Classe
38656623;171742.000;5150719.000;5.426;297;3;Inexistant;1.742076;3.207432e-02;0.667977;0.999773;0.627115;0.372658;1.393307e-04;2.267703e-04;5.309203e-03;1.859000e-09;-2.500000e-11;9.633190;6.043307;0.310000;-0.139000;0.171000;0;Rare
38656624;171743.000;5150719.000;5.372;297;3;Inexistant;1.742043;3.112463e-02;0.667669;0.999793;0.625954;0.373839;1.273692e-04;2.071492e-04;5.086878e-03;-1.859000e-09;2.500000e-11;9.640119;6.036268;0.293000;-0.140000;0.153000;0;Rare
38656625;171744.000;5150719.000;5.308;297;3;Inexistant;1.741309;3.788767e-02;0.668565;0.999626;0.626231;0.373395;2.297544e-04;3.738055e-04;4.647733e-03;-1.859000e-09;2.200000e-11;9.632443;6.035737;0.292000;-0.136000;0.156000;0;Rare
38656626;171745.000;5150719.000;5.353;297;3;Inexistant;1.738955;4.400534e-02;0.669450;0.999414;0.625517;0.373897;3.601465e-04;5.858464e-04;3.078561e-03;-1.861000e-09;1.500000e-11;9.621134;6.023823;0.262000;-0.102000;0.160000;0;Rare
38656627;171746.000;5150719.000;5.534;297;3;Inexistant;1.738008;3.567517e-02;0.667912;0.999688;0.624280;0.375408;1.919362e-04;3.118780e-04;2.423736e-03;1.860000e-09;-1.200000e-11;9.626456;6.012609;0.205000;-0.110000;0.095000;0;Rare
38657109;171741.000;5150720.000;5.507;297;3;Inexistant;1.740062;2.810456e-02;0.667646;0.999847;0.627486;0.372361;9.371698e-05;1.525517e-04;4.256485e-03;1.861000e-09;1.800000e-11;9.620741;6.038349;0.268000;-0.144000;0.124000;0;Rare
38657110;171742.000;5150720.000;5.463;297;3;Inexistant;1.738460;3.389484e-02;0.668218;0.999732;0.627290;0.372443;1.644231e-04;2.676520e-04;3.254216e-03;-1.861000e-09;-1.300000e-11;9.611686;6.031884;0.208000;-0.104000;0.104000;0;Rare
38657111;171743.000;5150720.000;5.433;297;3;Inexistant;1.737251;3.250376e-02;0.668066;0.999764;0.627353;0.372411;1.449909e-04;2.360198e-04;2.584864e-03;-1.862000e-09;-8.000000e-12;9.605000;6.027988;0.176000;-0.088000;0.088000;0;Rare
38657112;171744.000;5150720.000;5.405;297;3;Inexistant;1.737580;2.624966e-02;0.667570;0.999876;0.627945;0.371931;7.634416e-05;1.243030e-04;2.929061e-03;-1.862000e-09;-8.000000e-12;9.604645;6.032378;0.171000;-0.081000;0.090000;0;Rare
38657113;171745.000;5150720.000;5.427;297;3;Inexistant;1.736424;3.851752e-02;0.668772;0.999607;0.626884;0.372723;2.413506e-04;3.928390e-04;1.957325e-03;1.863000e-09;4.000000e-12;9.601344;6.022699;0.167000;-0.066000;0.101000;0;Rare
38657597;171742.000;5150721.000;5.482;297;3;Inexistant;1.738017;3.807773e-02;0.668779;0.999620;0.627295;0.372325;2.331397e-04;3.795641e-04;2.953134e-03;1.862000e-09;-1.000000e-11;9.607879;6.030625;0.208000;-0.135000;0.073000;0;Rare
38657598;171743.000;5150721.000;5.450;297;3;Inexistant;1.734620;4.096811e-02;0.668761;0.999528;0.624629;0.374898;2.906703e-04;4.725062e-04;4.706027e-04;-1.862000e-09;2.000000e-12;9.603734;6.003313;0.118000;-0.118000;0.000000;0;Rare
38657599;171744.000;5150721.000;5.463;297;3;Inexistant;1.735158;4.171593e-02;0.669051;0.999501;0.625565;0.373936;3.067813e-04;4.989991e-04;9.413252e-04;1.863000e-09;-2.000000e-12;9.600869;6.010758;0.117000;-0.088000;0.029000;0;Rare
38657600;171745.000;5150721.000;5.519;297;3;Inexistant;1.737834;4.276252e-02;0.669633;0.999462;0.627850;0.371612;3.301904e-04;5.378558e-04;2.881599e-03;1.862000e-09;5.000000e-12;9.601729;6.033613;0.207000;-0.125000;0.082000;0;Rare
40381905;171633.000;5152720.000;12.265;622;1;Inexistant;1.739691;3.815747e-02;0.669292;0.999618;0.630174;0.369444;2.343636e-04;3.822327e-04;4.431850e-03;-1.160000e-10;-0.000000e+00;9.600129;6.053423;0.221999;-0.080999;0.141000;0;Rare
40381906;171634.000;5152720.000;12.218;622;1;Inexistant;1.738730;3.486465e-02;0.668705;0.999709;0.629389;0.370320;1.788117e-04;2.914580e-04;3.778619e-03;1.160000e-10;0.000000e+00;9.600517;6.045255;0.217000;-0.099999;0.117001;0;Rare
40382416;171632.000;5152721.000;12.288;622;1;Inexistant;1.735272;3.929781e-02;0.668640;0.999583;0.625456;0.374127;2.564571e-04;4.170737e-04;1.022469e-03;-1.160000e-10;-0.000000e+00;9.603113;6.010332;0.146000;-0.049999;0.096001;0;Rare
40382417;171633.000;5152721.000;12.194;622;1;Inexistant;1.735462;3.788762e-02;0.668121;0.999626;0.623726;0.375901;2.299658e-04;3.735732e-04;8.307501e-04;1.861000e-09;2.000000e-12;9.614908;6.000659;0.134000;-0.034000;0.099999;0;Rare
40382418;171634.000;5152721.000;12.112;622;1;Inexistant;1.735495;3.674179e-02;0.668417;0.999659;0.626318;0.373341;2.095195e-04;3.408882e-04;1.341643e-03;1.160000e-10;0.000000e+00;9.600158;6.016025;0.139000;-0.056000;0.083000;0;Rare
40382419;171635.000;5152721.000;12.114;622;1;Inexistant;1.737677;2.974386e-02;0.667742;0.999819;0.627163;0.372656;1.111070e-04;1.808294e-04;2.818628e-03;1.160000e-10;1.000000e-12;9.609126;6.028227;0.211000;-0.079000;0.132001;0;Rare
