,id,X,Y,Z,id_moules,Nbrs_Moules,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,GMM_Class
544,40970208,171800.0,5153386.0,9.3,309,14,1.7346696,0.02680776,0.6669688,0.99986774,0.624287,0.3755807,8.142773e-05,0.00013228355,0.00058173307,-1.16e-10,0.0,9.610052,6.0007024,0.11000013,-0.032000065,0.07800007,0
546,40970209,171801.0,5153386.0,9.26,309,14,1.733689,0.028046047,0.66719157,0.9998485,0.6249435,0.37490502,9.3219634e-05,0.0001515049,0.00012949029,-1.863e-09,1e-12,9.600513,6.0012326,0.055999756,-0.00399971,0.052000046,0
547,40970210,171802.0,5153386.0,9.26,309,14,1.7339485,0.0305976,0.66738653,0.99980325,0.6246674,0.37513587,0.000121064186,0.00019673667,0.00020867147,1.862e-09,-1e-12,9.603047,6.0006,0.07999992,-0.007999897,0.07200003,0
548,40970211,171803.0,5153386.0,9.24,309,14,1.7384022,0.058544982,0.6728129,0.9986183,0.6250231,0.3735952,0.0008488068,0.0013816762,0.0023313004,1.16e-10,-1e-12,9.611592,6.0207477,0.2340002,-0.035999775,0.19800043,0
545,40970694,171800.0,5153387.0,9.11,309,14,1.746204,0.057124384,0.67333734,0.998715,0.6304098,0.3683052,0.0007868988,0.0012849898,0.0078111026,-1.86e-09,2.9e-11,9.624023,6.0794454,0.296,-0.19800043,0.09799957,0
549,40970695,171801.0,5153387.0,9.1,309,14,1.7392173,0.066177174,0.67545,0.99800134,0.6260805,0.37192085,0.0012261032,0.0019986434,0.0027310112,-1.862e-09,6e-12,9.602582,6.0311813,0.25600004,-0.23199987,0.024000168,0
550,40970696,171802.0,5153387.0,9.1,309,14,1.7349664,0.054638598,0.6715747,0.9988777,0.62412214,0.3747556,0.0006900583,0.0011222878,0.00029696507,1.863e-09,-1e-12,9.60097,6.0029526,0.14700031,-0.14700031,0.0,0
551,40970697,171803.0,5153387.0,9.17,309,14,1.7394277,0.07312478,0.6776594,0.9973012,0.6235504,0.37375078,0.0016567654,0.0026987847,0.0020875328,-1.16e-10,1e-12,9.610404,6.0185084,0.24900007,-0.19099998,0.058000088,0
552,40971181,171801.0,5153388.0,9.09,309,14,1.8464258,0.15099835,0.72889215,0.97542495,0.5689575,0.40646744,0.015187522,0.024575045,0.041944847,1.12e-10,1e-11,10.2699175,6.0955305,1.0159998,-0.12400007,0.8919997,3
553,40971182,171802.0,5153388.0,9.08,309,14,1.9290506,0.0823604,0.69811136,0.99597085,0.75208807,0.2438828,0.002289095,0.004029142,0.115755565,-1.796e-09,4.46e-10,9.863643,7.45807,1.2059999,-0.60599947,0.6000004,3
554,40971183,171803.0,5153388.0,9.12,309,14,1.8138975,0.11116692,0.7056002,0.99027306,0.66344815,0.32682496,0.005779846,0.009726915,0.047100764,-1.849e-09,1.55e-10,9.700551,6.530169,0.8470001,-0.65499973,0.19200039,3
259,48904870,188075.0,5161278.0,14.71,246,2,1.7340105,0.019769937,0.66672987,0.99994695,0.6255282,0.3744187,3.2642078e-05,5.3064083e-05,0.00046501317,1.863e-09,0.0,9.600002,6.005582,0.076999664,-0.048999786,0.027999878,0
260,48904871,188076.0,5161278.0,14.73,246,2,1.7334967,0.021177204,0.6667136,0.9999348,0.6250221,0.37491268,4.0128547e-05,6.521501e-05,7.0191454e-05,-1.863e-09,-0.0,9.600003,6.00084,0.03999996,-0.022999763,0.017000198,0
263,48904872,188077.0,5161278.0,14.71,246,2,1.7335019,0.022915995,0.6667922,0.9999174,0.6248839,0.3750335,5.0850165e-05,8.263402e-05,4.0243845e-05,1.863e-09,-0.0,9.600643,6.0000806,0.041999817,-0.03600025,0.005999565,0
264,48904873,188078.0,5161278.0,14.7,246,2,1.7360297,0.0578195,0.6725675,0.99866927,0.6248174,0.3738519,0.0008176674,0.0013307364,0.0009493633,1.863e-09,1e-12,9.600289,6.0112033,0.16800022,-0.14599991,0.022000313,0
261,48905371,188075.0,5161279.0,14.74,246,2,1.7414489,0.034122977,0.6683203,0.9997269,0.62771267,0.3720142,0.00016774047,0.00027312493,0.005039832,1.16e-10,-1e-12,9.625644,6.0447674,0.27999973,-0.1789999,0.10099983,0
262,48905372,188076.0,5161279.0,14.73,246,2,1.740861,0.031394206,0.6683496,0.9997872,0.6296757,0.37011155,0.00013053113,0.00021277895,0.005083469,-1.16e-10,1e-12,9.61152,6.054185,0.25,-0.10599995,0.14400005,0
265,48905373,188077.0,5161279.0,14.734,246,2,1.7392193,0.030972918,0.668325,0.9997957,0.6297902,0.3700055,0.00012534032,0.00020432963,0.00416816,-1.16e-10,0.0,9.60188,6.0491314,0.21999931,-0.09000015,0.12999916,0
266,48905374,188078.0,5161279.0,14.71,246,2,1.7367417,0.03848202,0.6688327,0.9996082,0.62725914,0.37234905,0.00024065064,0.00039178954,0.0022089444,-1.16e-10,0.0,9.6009,6.026014,0.17599964,-0.047999382,0.12800026,0
267,48905874,188075.0,5161280.0,14.79,246,2,1.7340771,0.023430554,0.6668815,0.99991167,0.6251998,0.37471184,5.4346976e-05,8.8334295e-05,0.000427809,-1.16e-10,0.0,9.601895,6.003951,0.08600044,-0.029000282,0.05700016,0
