        id           X            Y       Z  Nbrs_Moules id_moules
 219013959  282152.751  5210101.919   3.882            1       181
 219013969  282152.214  5210102.672   3.833            1       181
 219013978  282151.250  5210104.466   3.961            1       181
 219013979  282151.669  5210103.522   3.898            1       181
 219013989  282150.897  5210105.486   3.812            1       181
 219014000  282150.764  5210105.977   3.780            1       181
 219014010  282150.494  5210107.156   3.703            1       181
 219014011  282150.575  5210106.780   3.849            1       181
 219014022  282150.062  5210108.024   3.633            1       181
 221950719  277894.000  5211008.000  14.602            0       184
 221951231  277894.000  5211009.000  14.633            0       184
 221951742  277893.000  5211010.000  14.624            0       184
 221951743  277894.000  5211010.000  14.647            0       184
 221950209  277896.000  5211007.000  14.595            0       184
 221950210  277897.000  5211007.000  14.583            0       184
 221950211  277898.000  5211007.000  14.408            0       184
 221950720  277895.000  5211008.000  14.595            0       184
 221950721  277896.000  5211008.000  14.610            0       184
 221951232  277895.000  5211009.000  14.593            0       184
 221951233  277896.000  5211009.000  14.616            0       184
 221951744  277895.000  5211010.000  14.617            0       184
 221951745  277896.000  5211010.000  14.609            0       184
 221950722  277897.000  5211008.000  14.588            0       184
 221950723  277898.000  5211008.000  14.612            0       184
 221951234  277897.000  5211009.000  14.597            0       184
 221951235  277898.000  5211009.000  14.555            0       184
 221951746  277897.000  5211010.000  14.618            0       184
 221951747  277898.000  5211010.000  14.598            0       184
 221950212  277899.000  5211007.000  14.520            0       184
 221950213  277900.000  5211007.000  14.549            0       184
 221950724  277899.000  5211008.000  14.534            0       184
 221950725  277900.000  5211008.000  14.551            0       184
 221950726  277901.000  5211008.000  14.511            0       184
 221951236  277899.000  5211009.000  14.570            0       184
 221951237  277900.000  5211009.000  14.602            0       184
 221951238  277901.000  5211009.000  14.302            0       184
 221951748  277899.000  5211010.000  14.587            0       184
 221951749  277900.000  5211010.000  14.583            0       184
 221951750  277901.000  5211010.000  14.417            0       184
 221951239  277902.000  5211009.000  14.491            0       184
 221951751  277902.000  5211010.000  14.382            0       184
 221952254  277893.000  5211011.000  14.639            0       184
 221952255  277894.000  5211011.000  14.645            0       184
 221952766  277893.000  5211012.000  14.653            0       184
 221952767  277894.000  5211012.000  14.623            0       184
 221953279  277894.000  5211013.000  14.616            0       184
 221953791  277894.000  5211014.000  14.548            0       184
 221952256  277895.000  5211011.000  14.622            0       184
 221952257  277896.000  5211011.000  14.608            0       184
 221952768  277895.000  5211012.000  14.615            0       184
 221952769  277896.000  5211012.000  14.613            0       184
 221953280  277895.000  5211013.000  14.604            0       184
 221953281  277896.000  5211013.000  14.531            0       184
 221953792  277895.000  5211014.000  14.598            0       184
 221953793  277896.000  5211014.000  14.452            0       184
 221952258  277897.000  5211011.000  14.431            0       184
 221952259  277898.000  5211011.000  14.602            0       184
 221952770  277897.000  5211012.000  14.636            0       184
 221952771  277898.000  5211012.000  14.582            0       184
 221953282  277897.000  5211013.000  14.580            0       184
 221953283  277898.000  5211013.000  14.614            0       184
 221953794  277897.000  5211014.000  14.601            0       184
