Latitude;Longitude;Total;Classe;Date;source
46.73927;-71.27312;2;Inexistant;2011-01-01;LakestrugeonRichelieu
46.2795;-72.62225;0;Inexistant;2012-01-01;LakestrugeonRichelieu
46.404758;-72.407307;1;Inexistant;2012-01-01;LakestrugeonRichelieu
46.88389;-71.1434;1;Inexistant;2012-01-01;LakestrugeonRichelieu
46.88166;-71.13045;0;Inexistant;2013-01-01;LakestrugeonRichelieu
46.82580185;-71.20469666;16;Commun;2013-01-01;LakestrugeonRichelieu
46.87474;-71.14416;0;Inexistant;2014-01-01;LakestrugeonRichelieu
46.88166;-71.13045;0;Inexistant;2014-01-01;LakestrugeonRichelieu
46.253611;-72.676944;2;Inexistant;1972-07-19;LakestrugeonRichelieu
46.681389;-71.841389;3;Inexistant;1997-01-01;LakestrugeonRichelieu
46.661944;-71.776667;1;Inexistant;1997-01-01;LakestrugeonRichelieu
46.921111;-70.810278;0;Inexistant;1999-07-12;LakestrugeonRichelieu
46.921111;-70.810278;0;Inexistant;1999-09-21;LakestrugeonRichelieu
46.73927;-71.27312;1;Inexistant;2011-01-01;LakestrugeonRichelieu
46.456152;-72.238338;1;Inexistant;2008-01-01;LakestrugeonRichelieu
46.741471;-71.294771;38;Commun;1979-01-01;LakestrugeonRichelieu
46.463889;-72.258611;2;Inexistant;1996-01-01;LakestrugeonRichelieu
46.88477;-71.14315;10;Commun;2012-01-01;LakestrugeonRichelieu
46.82580185;-71.20469666;3;Inexistant;2013-01-01;LakestrugeonRichelieu
46.87316;-71.13155;12;Commun;2013-01-01;LakestrugeonRichelieu
46.73927;-71.27312;1;Inexistant;2010-01-01;LakestrugeonRichelieu
45.453333;-73.276111;1;Inexistant;1984-06-19;LakestrugeonRichelieu
46.599722;-71.997778;3;Inexistant;1997-01-01;LakestrugeonRichelieu
46.98236;-70.76319;3;Inexistant;2000-01-01;LakestrugeonRichelieu
46.420756;-72.323525;1;Inexistant;2008-01-01;LakestrugeonRichelieu
46.73927;-71.27312;1;Inexistant;2009-01-01;LakestrugeonRichelieu
46.73927;-71.27312;1;Inexistant;2010-01-01;LakestrugeonRichelieu
46.28076;-72.62843;0;Inexistant;2012-01-01;LakestrugeonRichelieu
46.90567;-71.07789;9;Rare;2013-01-01;LakestrugeonRichelieu
46.6688;-71.74739;0;Inexistant;2013-01-01;LakestrugeonRichelieu
46.82455;-71.20467;0;Inexistant;2013-01-01;LakestrugeonRichelieu
46.82529068;-71.2036438;20;Commun;2013-01-01;LakestrugeonRichelieu
46.825722;-71.201439;1;Inexistant;2014-01-01;LakestrugeonRichelieu
46.26978;-72.68958;2;Inexistant;2009-01-01;LakestrugeonRichelieu
46.312778;-72.55;0;Inexistant;1985-08-02;LakestrugeonRichelieu
45.863056;-73.15;1;Inexistant;2007-06-06;LakestrugeonRichelieu
46.91219;-71.08742;1;Inexistant;1991-01-01;LakestrugeonRichelieu
46.58428;-72.09015;1;Inexistant;1999-01-01;LakestrugeonRichelieu
46.43409;-72.333551;5;Rare;2001-01-01;LakestrugeonRichelieu
46.39731;-72.44432;1;Inexistant;2008-01-01;LakestrugeonRichelieu
46.73927;-71.27312;4;Rare;2008-01-01;LakestrugeonRichelieu
46.73927;-71.27312;1;Inexistant;2009-01-01;LakestrugeonRichelieu
46.73927;-71.27312;8;Rare;2010-01-01;LakestrugeonRichelieu
46.73927;-71.27312;4;Rare;2010-01-01;LakestrugeonRichelieu
46.73927;-71.27312;2;Inexistant;2011-01-01;LakestrugeonRichelieu
46.390004;-72.413156;1;Inexistant;2012-01-01;LakestrugeonRichelieu
46.82455;-71.20467;0;Inexistant;2013-01-01;LakestrugeonRichelieu
